"w1","w2","loss"
0.895,0.23125,0.00518391730640623
0.9,0.23125,0.00543892532088819
0.7,0.2375,0.00248255274498542
0.705,0.2375,0.00234078150361156
0.71,0.2375,0.00221096998710209
0.715,0.2375,0.00209301159325018
0.72,0.2375,0.00198679997472074
0.725,0.2375,0.0018922290465469
0.73,0.2375,0.00180919299342491
0.735,0.2375,0.00173758627681167
0.74,0.2375,0.00167730364182908
0.745,0.2375,0.00162824012397925
0.75,0.2375,0.00159029105567479
0.755,0.2375,0.00156335207258805
0.76,0.2375,0.00154731911982357
0.765,0.2375,0.00154208845791738
0.77,0.2375,0.00154755666866738
0.775,0.2375,0.00156362066079848
0.78,0.2375,0.00159017767546632
0.785,0.2375,0.0016271252916035
0.79,0.2375,0.0016743614311118
0.795,0.2375,0.0017317843639043
0.8,0.2375,0.00179929271280072
0.805,0.2375,0.00187678545827987
0.81,0.2375,0.00196416194309238
0.815,0.2375,0.00206132187673729
0.82,0.2375,0.00216816533980596
0.825,0.2375,0.00228459278819636
0.83,0.2375,0.00241050505720125
0.835,0.2375,0.00254580336547325
0.84,0.2375,0.00269038931887001
0.845,0.2375,0.00284416491418253
0.85,0.2375,0.00300703254274963
0.855,0.2375,0.00317889499396136
0.86,0.2375,0.0033596554586546
0.865,0.2375,0.00354921753240307
0.87,0.2375,0.00374748521870511
0.875,0.2375,0.0039543629320714
0.88,0.2375,0.00416975550101557
0.885,0.2375,0.00439356817095
0.89,0.2375,0.00462570660698953
0.895,0.2375,0.00486607689666524
0.9,0.2375,0.00511458555255093
0.7,0.24375,0.0024581936657263
0.705,0.24375,0.00230868363103339
0.71,0.24375,0.00217114716608208
0.715,0.24375,0.00204547861359531
0.72,0.24375,0.00193157256327519
0.725,0.24375,0.00182932385910621
0.73,0.24375,0.00173862760646172
0.735,0.24375,0.0016593791790181
0.74,0.24375,0.00159147422548073
0.745,0.24375,0.00153480867612586
0.75,0.24375,0.00148927874916256
0.755,0.24375,0.00145478095691861
0.76,0.24375,0.0014312121118546
0.765,0.24375,0.00141846933240995
0.77,0.24375,0.00141645004868491
0.775,0.24375,0.00142505200796236
0.78,0.24375,0.00144417328007315
0.785,0.24375,0.00147371226260891
0.79,0.24375,0.00151356768598574
0.795,0.24375,0.00156363861836277
0.8,0.24375,0.00162382447041891
0.805,0.24375,0.00169402499999135
0.81,0.24375,0.00177414031657944
0.815,0.24375,0.00186407088571721
0.82,0.24375,0.0019637175332178
0.825,0.24375,0.00207298144929332
0.83,0.24375,0.00219176419255315
0.835,0.24375,0.00231996769388386
0.84,0.24375,0.00245749426021398
